Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type
2,0,Segovian Angel,Modern Horizons,25,Near Mint,English,,,,,,,,0,Creature - Angel
1,0,Seraph of Dawn,Avacyn Restored,35,Near Mint,English,,,,,,,,,Creature - Angel
2,0,Serene Steward,Battle for Zendikar,46,Near Mint,English,,,,,,,,,Creature - Human Cleric Ally
1,0,Seven Dwarves,Throne of Eldraine,141,Near Mint,English,,,,,,,,,Creature - Dwarf
1,0,Sever the Bloodline,Duel Decks: Blessed vs. Cursed,63,Near Mint,English,,,,,,,,0,Sorcery
1,0,Shaper Apprentice,Ixalan,75,Near Mint,English,,,,,,,,,Creature - Merfolk Wizard
1,0,Sharpened Pitchfork,Innistrad,232,Near Mint,English,,,,,,,,,Artifact - Equipment
2,0,Shining Armor,Throne of Eldraine,29,Near Mint,English,,,,,,,,,Artifact - Equipment
1,0,Shipwreck Looter,Ixalan,76,Near Mint,English,,,,,,,,,Creature - Human Pirate
1,0,Silverflame Ritual,Throne of Eldraine,30,Near Mint,English,,,,,,,,,Sorcery
2,0,Silverflame Squire // On Alert,Throne of Eldraine,31,Near Mint,English,,,,,,,,,Creature - Human Soldier // Instant - Adventure
1,0,Simic Fluxmage,Gatecrash,49,Near Mint,English,,,,,,,,,Creature - Merfolk Wizard
1,0,Siren Lookout,Ixalan,78,Near Mint,English,,,,,,,,,Creature - Siren Pirate
1,0,Skinbrand Goblin,Gatecrash,105,Near Mint,English,,,,,,,,,Creature - Goblin Warrior
1,0,Skyblinder Staff,Gatecrash,238,Near Mint,English,,,,,,,,,Artifact - Equipment
1,0,Slayer of the Wicked,Innistrad,32,Near Mint,English,,,,,,,,,Creature - Human Soldier
1,0,Sleep of the Dead,Theros Beyond Death,66,Near Mint,English,,,,,,,,,Sorcery
1,0,Smitten Swordmaster // Curry Favor,Throne of Eldraine,105,Near Mint,English,,,,,,,,,Creature - Human Knight // Sorcery - Adventure
1,0,So Tiny,Throne of Eldraine,64,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Solid Footing,Ikoria: Lair of Behemoths,31,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Soul Manipulation,Modern Masters 2017 Edition,185,Near Mint,English,,,,,,,,,Instant
1,0,Soul Warden,Modern Masters 2017 Edition,24,Near Mint,English,,,,,,,,,Creature - Human Cleric
2,0,Soulmender,Core Set 2020,37,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Spectral Gateguards,Avacyn Restored,37,Near Mint,English,,,,,,,,,Creature - Spirit Soldier
1,0,Spinning Wheel,Throne of Eldraine,234,Near Mint,English,,,,,,,,,Artifact
1,0,Spire Mangler,Ravnica Allegiance,86,Near Mint,English,,,,,,,,,Creature - Insect
1,0,Starlit Mantle,Theros Beyond Death,67,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Steadfast Sentry,Core Set 2020,40,Near Mint,English,,,,,,,,,Creature - Human Soldier
2,0,Stern Dismissal,Theros Beyond Death,68,Near Mint,English,,,,,,,,,Instant
1,0,Stinging Lionfish,Theros Beyond Death,69,Near Mint,English,,,,,,,,,Enchantment Creature  - Fish
2,0,Stitched Drake,Ultimate Masters,72,Near Mint,English,,,,,,,,,Creature - Zombie Drake
1,0,Sunmane Pegasus,Theros Beyond Death,38,Near Mint,English,,,,,,,,,Creature  - Pegasus
1,0,"Syr Faren, the Hengehammer",Throne of Eldraine,177,Near Mint,English,,,,,,,,,Legendary Creature - Human Knight
1,0,"Taigam, Sidisi's Hand",Commander 2017,47,Near Mint,English,,,,,,,,,Legendary Creature - Human Wizard
1,0,Tainted Remedy,Magic Origins,120,Near Mint,English,,,,,,,,,Enchantment
1,0,Tandem Lookout,Modern Masters 2017 Edition,53,Near Mint,English,,,,,,,,,Creature - Human Scout
1,0,"Taranika, Akroan Veteran",Theros Beyond Death,39,Near Mint,English,,,,,,,,,Legendary Creature  - Human Soldier
1,0,Temple of Epiphany,Core Set 2020,253,Near Mint,English,,,,,,,,,Land
2,0,Temple Thief,Theros Beyond Death,116,Near Mint,English,,,,,,,,,Creature  - Human Rogue
1,0,Thaumaturge's Familiar,Theros Beyond Death,238,Near Mint,English,,,,,,,,,Artifact Creature  - Bird
1,0,The Birth of Meletis,Theros Beyond Death,5,Near Mint,English,,,,,,,,,Enchantment  - Saga
1,0,Thicket Crasher,Core Set 2020,196,Near Mint,English,,,,,,,,,Creature - Elemental Rhino
1,0,Thirst for Meaning,Theros Beyond Death,74,Near Mint,English,,,,,,,,,Instant
1,0,Thraben Heretic,Dark Ascension,26,Near Mint,English,,,,,,,,,Creature - Human Wizard
1,0,Threnody Singer,Theros Beyond Death,75,Near Mint,English,,,,,,,,,Creature  - Siren
3,0,Thrill of Possibility,Throne of Eldraine,146,Near Mint,English,,,,,,,,,Instant
1,0,Thrummingbird,Commander Anthology Volume II,52,Near Mint,English,,,,,,,,,Creature - Bird Horror
1,0,Tooth Collector,Shadows over Innistrad,140,Near Mint,English,,,,,,,,,Creature - Human Rogue
1,0,Topplegeist,Shadows over Innistrad,45,Near Mint,English,,,,,,,,,Creature - Spirit
1,0,Totally Lost,War of the Spark,74,Near Mint,English,,,,,,,,,Instant
1,0,Tower Geist,Duel Decks: Blessed vs. Cursed,30,Near Mint,English,,,,,,,,0,Creature - Spirit
1,0,Towering-Wave Mystic,Theros Beyond Death,77,Near Mint,English,,,,,,,,,Creature  - Merfolk Wizard
1,0,Tranquil Cove,Commander 2019,284,Near Mint,English,,,,,,,,,Land
1,0,Trapped in the Tower,Throne of Eldraine,33,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Tribute to Hunger,Innistrad,119,Near Mint,English,,,,,,,,,Instant
1,0,Triton Waverider,Theros Beyond Death,78,Near Mint,English,,,,,,,,,Creature  - Merfolk Wizard
2,0,True Love's Kiss,Throne of Eldraine,34,Near Mint,English,,,,,,,,,Instant
1,0,Tuinvale Treefolk // Oaken Boon,Throne of Eldraine,180,Near Mint,English,,,,,,,,,Creature - Treefolk Druid // Sorcery - Adventure
1,0,Twilight Panther,Ravnica Allegiance,28,Near Mint,English,,,,,,,,0,Creature - Cat Spirit
1,0,Unbreathing Horde,Duel Decks: Blessed vs. Cursed,66,Near Mint,English,,,,,,,,0,Creature - Zombie
1,0,Undead Augur,Modern Horizons,112,Near Mint,English,,,,,,,,,Creature - Zombie Wizard
1,0,Undercity Scavenger,Ravnica Allegiance,88,Near Mint,English,,,,,,,,,Creature - Ogre Warrior
1,0,Underworld Charger,Theros Beyond Death,120,Near Mint,English,,,,,,,,,Creature  - Nightmare Horse
1,0,Underworld Connections,Commander 2017,128,Near Mint,English,foil,,,,,,,0,Enchantment - Aura
1,0,Underworld Dreams,Theros Beyond Death,121,Near Mint,English,,,,,,,,,Enchantment
1,0,Unexplained Vision,Throne of Eldraine,70,Near Mint,English,,,,,,,,,Sorcery
1,0,Unholy Indenture,Core Set 2020,119,Near Mint,English,foil,,,,,,,0,Enchantment - Aura
1,0,"Uro, Titan of Nature's Wrath",Theros Beyond Death,229,Near Mint,English,,,,,,,,0,Legendary Creature  - Elder Giant
1,0,Venomous Hierophant,Theros Beyond Death,122,Near Mint,English,,,,,,,,,Creature  - Gorgon Cleric
1,0,Vial of Dragonfire,Core Set 2020,241,Near Mint,English,,,,,,,,,Artifact
1,0,Vicious Conquistador,Ixalan,128,Near Mint,English,,,,,,,,,Creature - Vampire Soldier
1,0,Victim of Night,Innistrad,124,Near Mint,English,,,,,,,,,Instant
1,0,Village Bell-Ringer,Innistrad,41,Near Mint,English,,,,,,,,,Creature - Human Scout
1,0,Vizkopa Guildmage,Iconic Masters,211,Near Mint,English,,,,,,,,0,Creature - Human Wizard
1,0,Voice of the Provinces,Avacyn Restored,40,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Watertrap Weaver,Ixalan,87,Near Mint,English,,,,,,,,,Creature - Merfolk Wizard
2,0,Weapon Rack,Throne of Eldraine,236,Near Mint,English,,,,,,,,,Artifact
2,0,Weaselback Redcap,Throne of Eldraine,148,Near Mint,English,,,,,,,,,Creature - Goblin Knight
2,0,Whirlwind Denial,Theros Beyond Death,81,Near Mint,English,,,,,,,,,Instant
1,0,Wilt,Ikoria: Lair of Behemoths,176,Near Mint,English,,,,,,,,,Instant
1,0,Wind Strider,Ixalan,88,Near Mint,English,,,,,,,,,Creature - Merfolk Wizard
1,0,Wishclaw Talisman,Throne of Eldraine,110,Near Mint,English,,,,,,,,,Artifact
1,0,Witch's Cottage,Throne of Eldraine,249,Near Mint,English,,,,,,,,,Land - Swamp
1,0,Witness of Tomorrows,Theros Beyond Death,82,Near Mint,English,,,,,,,,,Enchantment Creature  - Sphinx
1,0,Wolfkin Bond,Core Set 2020,203,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Wonder,Commander Anthology,44,Near Mint,English,,,,,,,,0,Creature - Incarnation
1,0,Yarok's Fenlurker,Core Set 2020,123,Near Mint,English,,,,,,,,,Creature - Horror
2,0,Yoked Ox,Core Set 2020,41,Near Mint,English,,,,,,,,,Creature - Ox
1,0,"Yorvo, Lord of Garenbrig",Throne of Eldraine,185,Near Mint,English,,,,,,,,,Legendary Creature - Giant Noble
2,0,Youthful Knight,Throne of Eldraine,37,Near Mint,English,,,,,,,,,Creature - Human Knight




